source,model,language,failure_stage,failure_category,count,percent
initial,deepseek-v4-flash,c,parse,syntax_error,49,0.2512820512820513
initial,deepseek-v4-flash,c,success,success,29,0.14871794871794872
initial,deepseek-v4-flash,c,verify,open_close_assert_leak_error,99,0.5076923076923077
initial,deepseek-v4-flash,c,verify,other_semantic_error,18,0.09230769230769231
initial,deepseek-v4-flash,java,parse,syntax_error,36,0.12
initial,deepseek-v4-flash,java,success,success,219,0.73
initial,deepseek-v4-flash,java,type,type_error,1,0.0033333333333333335
initial,deepseek-v4-flash,java,verify,loop_invariant_error,1,0.0033333333333333335
initial,deepseek-v4-flash,java,verify,open_close_assert_leak_error,5,0.016666666666666666
initial,deepseek-v4-flash,java,verify,other_semantic_error,38,0.12666666666666668
initial,deepseek-v4-flash,rust,parse,parse_error,4,0.0163265306122449
initial,deepseek-v4-flash,rust,parse,syntax_error,3,0.012244897959183673
initial,deepseek-v4-flash,rust,verify,other_semantic_error,238,0.9714285714285714
repair,deepseek-v4-flash,c,parse,syntax_error,230,0.4831932773109244
repair,deepseek-v4-flash,c,success,success,22,0.046218487394957986
repair,deepseek-v4-flash,c,verify,loop_invariant_error,1,0.0021008403361344537
repair,deepseek-v4-flash,c,verify,open_close_assert_leak_error,171,0.3592436974789916
repair,deepseek-v4-flash,c,verify,other_semantic_error,52,0.1092436974789916
repair,deepseek-v4-flash,java,parse,syntax_error,26,0.16560509554140126
repair,deepseek-v4-flash,java,success,success,51,0.3248407643312102
repair,deepseek-v4-flash,java,verify,other_semantic_error,80,0.5095541401273885
repair,deepseek-v4-flash,rust,parse,parse_error,16,0.021768707482993196
repair,deepseek-v4-flash,rust,parse,syntax_error,100,0.1360544217687075
repair,deepseek-v4-flash,rust,type,type_error,2,0.0027210884353741495
repair,deepseek-v4-flash,rust,verify,other_semantic_error,617,0.8394557823129252
