model,language,structure,benchmarks,file_success,file_success_rate,candidate_total,candidate_verified,candidate_verify_rate
deepseek-v4-flash,c,Arithmetic,10,7,0.7,50,12,0.24
deepseek-v4-flash,c,Arrays,4,0,0.0,20,0,0.0
deepseek-v4-flash,c,Linklist,9,2,0.2222222222222222,45,10,0.2222222222222222
deepseek-v4-flash,c,Stack,2,0,0.0,10,0,0.0
deepseek-v4-flash,c,Struct,10,5,0.5,50,2,0.04
deepseek-v4-flash,c,Tree,4,1,0.25,20,5,0.25
deepseek-v4-flash,java,Arithmetic,7,6,0.8571428571428571,35,20,0.5714285714285714
deepseek-v4-flash,java,Arrays,17,13,0.7647058823529411,85,42,0.49411764705882355
deepseek-v4-flash,java,Linklist,4,4,1.0,20,14,0.7
deepseek-v4-flash,java,Other,28,28,1.0,140,128,0.9142857142857143
deepseek-v4-flash,java,Stack,2,2,1.0,10,10,1.0
deepseek-v4-flash,java,Tree,2,1,0.5,10,5,0.5
deepseek-v4-flash,rust,Arrays,4,0,0.0,20,0,0.0
deepseek-v4-flash,rust,Other,3,0,0.0,15,0,0.0
deepseek-v4-flash,rust,Stack,22,0,0.0,110,0,0.0
deepseek-v4-flash,rust,Struct,14,0,0.0,70,0,0.0
deepseek-v4-flash,rust,Tree,6,0,0.0,30,0,0.0
