source,model,language,failure_stage,failure_category,count,percent
initial,gpt-5.5,c,parse,syntax_error,180,0.9230769230769231
initial,gpt-5.5,c,success,success,9,0.046153846153846156
initial,gpt-5.5,c,verify,open_close_assert_leak_error,5,0.02564102564102564
initial,gpt-5.5,c,verify,other_semantic_error,1,0.005128205128205128
initial,gpt-5.5,java,parse,syntax_error,169,0.5633333333333334
initial,gpt-5.5,java,success,success,94,0.31333333333333335
initial,gpt-5.5,java,verify,loop_invariant_error,2,0.006666666666666667
initial,gpt-5.5,java,verify,open_close_assert_leak_error,14,0.04666666666666667
initial,gpt-5.5,java,verify,other_semantic_error,21,0.07
repair,gpt-5.5,c,parse,syntax_error,185,0.40130151843817785
repair,gpt-5.5,c,success,success,68,0.1475054229934924
repair,gpt-5.5,c,verify,open_close_assert_leak_error,133,0.2885032537960954
repair,gpt-5.5,c,verify,other_semantic_error,75,0.16268980477223427
repair,gpt-5.5,java,success,success,176,0.6616541353383458
repair,gpt-5.5,java,verify,other_semantic_error,90,0.3383458646616541
